# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#
优优宝贝HD,http://27.12.168.193:8899/udp/225.0.4.126:7980
动漫秀场HD,http://27.12.168.193:8899/udp/225.0.4.236:7980
江苏卫视HD,http://27.12.168.193:8899/udp/225.0.4.79:7980
浙江卫视HD,http://27.12.168.193:8899/udp/225.0.4.81:7980
东方卫视HD,http://27.12.168.193:8899/udp/225.0.4.80:7980
深圳卫视HD,http://27.12.168.193:8899/udp/225.0.4.202:7980
北京卫视HD,http://27.12.168.193:8899/udp/225.0.4.78:7980
山东卫视HD,http://27.12.168.193:8899/udp/225.0.4.199:7980
天津卫视HD,http://27.12.168.193:8899/udp/225.0.4.82:7980
贵州卫视HD,http://27.12.168.193:8899/udp/225.0.4.175:7980
四川卫视HD,http://27.12.168.193:8899/udp/225.0.4.204:7980
黑龙江卫视HD,http://27.12.168.193:8899/udp/225.0.4.201:7980
安徽卫视HD,http://27.12.168.193:8899/udp/225.0.4.133:7980
江西卫视HD,http://27.12.168.193:8899/udp/225.0.4.203:7980
湖北卫视HD,http://27.12.168.193:8899/udp/225.0.4.217:7980
东南卫视HD,http://27.12.168.193:8899/udp/225.0.4.200:7980
辽宁卫视HD,http://27.12.168.193:8899/udp/225.0.4.98:7980
湖南卫视HD,http://27.12.168.193:8899/udp/225.0.4.75:7980
广东卫视HD,http://27.12.168.193:8899/udp/225.0.4.84:7980
河北卫视HD,http://27.12.168.193:8899/udp/225.0.4.174:7980
甘肃卫视HD,http://27.12.168.193:8899/udp/225.0.4.181:7980
新疆卫视HD,http://27.12.168.193:8899/udp/225.0.4.60:7980
西藏卫视HD,http://27.12.168.193:8899/udp/225.0.4.67:7980
兵团卫视HD,http://27.12.168.193:8899/udp/225.0.4.72:7980
山东教育卫视HD,http://27.12.168.193:8899/udp/225.0.4.183:7980
都市剧场HD,http://27.12.168.193:8899/udp/225.0.4.235:7980
欢笑剧场HD,http://27.12.168.193:8899/udp/225.0.4.234:7980
重庆新闻HD,http://27.12.168.193:8899/udp/225.0.4.188:7980
重庆影视剧HD,http://27.12.168.193:8899/udp/225.0.4.192:7980
重庆新农村HD,http://27.12.168.193:8899/udp/225.0.4.189:7980
重庆少儿HD,http://27.12.168.193:8899/udp/225.0.4.191:7980
重庆社会与法HD,http://27.12.168.193:8899/udp/225.0.4.190:7980
重庆红叶HD,http://27.12.168.193:8899/udp/225.0.4.193:7980
重庆红岩文化HD,http://27.12.168.193:8899/udp/225.0.4.196:7980
重庆汽摩HD,http://27.12.168.193:8899/udp/225.0.4.195:7980
重庆移动HD,http://27.12.168.193:8899/udp/225.0.4.215:7980
求索记录HD,http://27.12.168.193:8899/udp/225.0.4.232:7980
精彩影视HD,http://27.12.168.193:8899/udp/225.0.4.231:7980
IPTV8+(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.54:7980
IPTV相声小品(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.56:7980
IPTV野外(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.57:7980
光影(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.162:7980
军事(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.154:7980
军旅剧场(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.146:7980
动作影院(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.170:7980
动画(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.158:7980
古装剧场(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.147:7980
台球(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.163:7980
喜剧影院(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.169:7980
地理(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.149:7980
城市剧场(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.145:7980
好学生(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.159:7980
家庭影院(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.171:7980
星影(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.172:7980
武侠剧场(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.168:7980
武术(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.165:7980
热播剧场(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.47:7980
爱体育(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.53:7980
爱电影(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.50:7980
爱综艺(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.51:7980
精选(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.152:7980
经典电影(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.48:7980
美人(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.151:7980
美妆(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.150:7980
茶频道HD,http://27.12.168.193:8899/udp/225.0.4.233:7980
解密(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.153:7980
足球(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.167:7980
重庆娱乐HD,http://27.12.168.193:8899/udp/225.0.4.194:7980
金色频道HD,http://27.12.168.193:8899/udp/225.0.4.239:7980
音乐现场(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.148:7980
高网(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.166:7980
魅力时尚(轮播频道)HD,http://27.12.168.193:8899/udp/225.0.4.49:7980
北京卫视4K,http://124.64.182.165:8686/rtp/239.3.1.140:8001
北京卫视4K,http://124.64.182.165:8686/rtp/239.3.1.139:8001
东方卫视4K,http://124.64.182.165:8686/rtp/239.3.1.119:3006
广东卫视4K,http://124.64.182.165:8686/rtp/239.3.1.203:2000
深圳卫视4K,http://124.64.182.165:8686/rtp/239.3.1.202:2000
湖南卫视4K,http://124.64.182.165:8686/rtp/239.3.1.112:3002
山东卫视4K,http://124.64.182.165:8686/rtp/239.3.1.144:3005
四川卫视4K,http://124.64.182.165:8686/rtp/239.3.1.131:3001
浙江卫视4K,http://124.64.182.165:8686/rtp/239.3.1.114:3004
江苏卫视4K,http://124.64.182.165:8686/rtp/239.3.1.113:3003
CCTV-1 HD,http://124.64.182.165:8686/rtp/239.3.1.129:8008
CCTV-2 HD,http://124.64.182.165:8686/rtp/239.3.1.60:8084
CCTV-3 HD,http://124.64.182.165:8686/rtp/239.3.1.172:8001
CCTV-4 HD,http://124.64.182.165:8686/rtp/239.3.1.105:8092
CCTV-5 HD,http://124.64.182.165:8686/rtp/239.3.1.173:8001
CCTV-5+ HD,http://124.64.182.165:8686/rtp/239.3.1.130:8004
CCTV-6 HD,http://124.64.182.165:8686/rtp/239.3.1.174:8001
CCTV-7 HD,http://124.64.182.165:8686/rtp/239.3.1.61:8104
CCTV-8 HD,http://124.64.182.165:8686/rtp/239.3.1.175:8001
CCTV-9 HD,http://124.64.182.165:8686/rtp/239.3.1.62:8112
CCTV-10 HD,http://124.64.182.165:8686/rtp/239.3.1.63:8116
CCTV-11 HD,http://124.64.182.165:8686/rtp/239.3.1.152:8120
CCTV-12 HD,http://124.64.182.165:8686/rtp/239.3.1.64:8124
CCTV-13 HD,http://124.64.182.165:8686/rtp/239.3.1.124:8128
CCTV-14 HD,http://124.64.182.165:8686/rtp/239.3.1.65:8132
CCTV-15 HD,http://124.64.182.165:8686/rtp/239.3.1.153:8136
CCTV-16 奥林匹克,http://124.64.182.165:8686/rtp/239.3.1.183:8001
CCTV-16 奥林匹克HD,http://124.64.182.165:8686/rtp/239.3.1.184:8001
CCTV-17 HD,http://124.64.182.165:8686/rtp/239.3.1.151:8144
BRTV北京卫视HD,http://124.64.182.165:8686/rtp/239.3.1.241:8000
BRTV新闻HD,http://124.64.182.165:8686/rtp/239.3.1.159:8000
BRTV影视HD,http://124.64.182.165:8686/rtp/239.3.1.158:8000
BRTV文艺HD,http://124.64.182.165:8686/rtp/239.3.1.242:8000
BRTV财经HD,http://124.64.182.165:8686/rtp/239.3.1.116:8000
BRTV生活HD,http://124.64.182.165:8686/rtp/239.3.1.117:8000
BRTV纪实科教HD,http://124.64.182.165:8686/rtp/239.3.1.115:8000
BRTV卡酷少儿HD,http://124.64.182.165:8686/rtp/239.3.1.189:8000
BRTV体育休闲,http://124.64.182.165:8686/rtp/239.3.1.243:8000
BTV国际频道,http://124.64.182.165:8686/rtp/239.3.1.235:8000
爱上4K,http://124.64.182.165:8686/rtp/239.3.1.236:2000
4K超清,http://124.64.182.165:8686/rtp/239.3.1.249:8001
淘电影HD,http://124.64.182.165:8686/rtp/239.3.1.250:8001
星影,http://124.64.182.165:8686/rtp/239.3.1.94:4120
动作影院,http://124.64.182.165:8686/rtp/239.3.1.92:4120
光影,http://124.64.182.165:8686/rtp/239.3.1.84:4120
喜剧影院,http://124.64.182.165:8686/rtp/239.3.1.91:4120
家庭影院,http://124.64.182.165:8686/rtp/239.3.1.93:4120
精选,http://124.64.182.165:8686/rtp/239.3.1.74:4120
经典电影,http://124.64.182.165:8686/rtp/239.3.1.195:9024
纪实人文HD,http://124.64.182.165:8686/rtp/239.3.1.212:8060
金鹰纪实HD,http://124.64.182.165:8686/rtp/239.3.1.58:8156
地理,http://124.64.182.165:8686/rtp/239.3.1.71:4120
淘剧场HD,http://124.64.182.165:8686/rtp/239.3.1.95:8001
淘娱乐HD,http://124.64.182.165:8686/rtp/239.3.1.100:8001
淘BabyHD,http://124.64.182.165:8686/rtp/239.3.1.238:8001
萌宠TVHD,http://124.64.182.165:8686/rtp/239.3.1.102:8001
湖南卫视HD,http://124.64.182.165:8686/rtp/239.3.1.132:8012
东方卫视HD,http://124.64.182.165:8686/rtp/239.3.1.136:8032
浙江卫视HD,http://124.64.182.165:8686/rtp/239.3.1.137:8036
江苏卫视HD,http://124.64.182.165:8686/rtp/239.3.1.135:8028
深圳卫视HD,http://124.64.182.165:8686/rtp/239.3.1.134:8020
广东卫视HD,http://124.64.182.165:8686/rtp/239.3.1.142:8048
安徽卫视HD,http://124.64.182.165:8686/rtp/239.3.1.211:8064
天津卫视HD,http://124.64.182.165:8686/rtp/239.3.1.141:1234
重庆卫视HD,http://124.64.182.165:8686/rtp/239.3.1.122:8160
山东卫视HD,http://124.64.182.165:8686/rtp/239.3.1.209:8052
黑龙江卫视HD,http://124.64.182.165:8686/rtp/239.3.1.133:8016
河北卫视HD,http://124.64.182.165:8686/rtp/239.3.1.148:8072
辽宁卫视HD,http://124.64.182.165:8686/rtp/239.3.1.210:8056
湖北卫视HD,http://124.64.182.165:8686/rtp/239.3.1.138:8044
吉林卫视HD,http://124.64.182.165:8686/rtp/239.3.1.240:8172
贵州卫视HD,http://124.64.182.165:8686/rtp/239.3.1.149:8076
东南卫视HD,http://124.64.182.165:8686/rtp/239.3.1.156:8148
江西卫视HD,http://124.64.182.165:8686/rtp/239.3.1.123:8164
海南卫视,http://124.64.182.165:8686/rtp/239.3.1.45:8304
云南卫视,http://124.64.182.165:8686/rtp/239.3.1.26:8108
兵团卫视,http://124.64.182.165:8686/rtp/239.3.1.144:4120
厦门卫视,http://124.64.182.165:8686/rtp/239.3.1.143:4120
四川卫视,http://124.64.182.165:8686/rtp/239.3.1.29:8288
南方卫视,http://124.64.182.165:8686/rtp/239.3.1.161:8001
宁夏卫视,http://124.64.182.165:8686/rtp/239.3.1.46:8124
山西卫视,http://124.64.182.165:8686/rtp/239.3.1.42:8172
广西卫视,http://124.64.182.165:8686/rtp/239.3.1.39:8300
新疆卫视,http://124.64.182.165:8686/rtp/239.3.1.48:8160
河南卫视,http://124.64.182.165:8686/rtp/239.3.1.27:8128
甘肃卫视,http://124.64.182.165:8686/rtp/239.3.1.49:8188
西藏卫视,http://124.64.182.165:8686/rtp/239.3.1.47:8164
三沙卫视,http://124.64.182.165:8686/rtp/239.3.1.155:4120
陕西卫视,http://124.64.182.165:8686/rtp/239.3.1.41:8140
青海卫视,http://124.64.182.165:8686/rtp/239.3.1.44:8184
内蒙古卫视,http://124.64.182.165:8686/rtp/239.3.1.43:8176
中国交通HD,http://124.64.182.165:8686/rtp/239.3.1.188:8001
朝阳融媒HD,http://124.64.182.165:8686/rtp/239.3.1.163:8001
通州融媒HD,http://124.64.182.165:8686/rtp/239.3.1.221:8001
密云电视台HD,http://124.64.182.165:8686/rtp/239.3.1.154:8001
延庆电视台,http://124.64.182.165:8686/rtp/239.3.1.187:8001
房山电视台,http://124.64.182.165:8686/rtp/239.3.1.96:8001
CCTV-4 中文国际 欧洲HD,http://124.64.182.165:8686/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲HD,http://124.64.182.165:8686/rtp/239.3.1.214:4220
CGTN 新闻HD,http://124.64.182.165:8686/rtp/239.3.1.215:4220
CGTN 记录HD,http://124.64.182.165:8686/rtp/239.3.1.216:4220
CGTN 西班牙语HD,http://124.64.182.165:8686/rtp/239.3.1.217:4220
CGTN 法语HD,http://124.64.182.165:8686/rtp/239.3.1.218:4220
CGTN 阿拉伯语HD,http://124.64.182.165:8686/rtp/239.3.1.219:4220
CGTN 俄语HD,http://124.64.182.165:8686/rtp/239.3.1.220:4220
睛彩竞技HD,http://124.64.182.165:8686/rtp/239.3.1.125:8001
睛彩篮球HD,http://124.64.182.165:8686/rtp/239.3.1.126:8001
睛彩羽毛球HD,http://124.64.182.165:8686/rtp/239.3.1.127:8001
睛彩广场舞HD,http://124.64.182.165:8686/rtp/239.3.1.128:8001
茶频道HD,http://124.64.182.165:8686/rtp/239.3.1.165:8001
体育赛事HD,http://124.64.182.165:8686/rtp/239.3.1.157:8176
淘精彩HD,http://124.64.182.165:8686/rtp/239.3.1.178:8001
快乐垂钓HD,http://124.64.182.165:8686/rtp/239.3.1.164:8001
大健康HD,http://124.64.182.165:8686/rtp/239.3.1.251:8001
CETV1HD,http://124.64.182.165:8686/rtp/239.3.1.57:8152
CETV2,http://124.64.182.165:8686/rtp/239.3.1.54:4120
CETV3,http://124.64.182.165:8686/rtp/239.3.1.55:4120
CETV4,http://124.64.182.165:8686/rtp/239.3.1.56:4120
少儿动画,http://124.64.182.165:8686/rtp/239.3.1.199:9000
热播剧场,http://124.64.182.165:8686/rtp/239.3.1.194:9020
解密,http://124.64.182.165:8686/rtp/239.3.1.75:4120
军事,http://124.64.182.165:8686/rtp/239.3.1.76:4120
军旅剧场,http://124.64.182.165:8686/rtp/239.3.1.68:4120
动画,http://124.64.182.165:8686/rtp/239.3.1.80:4120
古装剧场,http://124.64.182.165:8686/rtp/239.3.1.69:4120
台球,http://124.64.182.165:8686/rtp/239.3.1.85:4120
嘉佳卡通,http://124.64.182.165:8686/rtp/239.3.1.147:9268
国学,http://124.64.182.165:8686/rtp/239.3.1.77:4120
城市剧场,http://124.64.182.165:8686/rtp/239.3.1.67:4120
墨宝,http://124.64.182.165:8686/rtp/239.3.1.83:4120
好学生,http://124.64.182.165:8686/rtp/239.3.1.81:4120
山东教育,http://124.64.182.165:8686/rtp/239.3.1.52:4120
戏曲,http://124.64.182.165:8686/rtp/239.3.1.78:4120
收视指南,http://124.64.182.165:8686/rtp/239.3.1.193:8012
早教,http://124.64.182.165:8686/rtp/239.3.1.79:4120
武侠剧场,http://124.64.182.165:8686/rtp/239.3.1.90:4120
武术,http://124.64.182.165:8686/rtp/239.3.1.87:4120
爱生活,http://124.64.182.165:8686/rtp/239.3.1.86:4120
美人,http://124.64.182.165:8686/rtp/239.3.1.73:4120
美妆,http://124.64.182.165:8686/rtp/239.3.1.72:4120
财富天下,http://124.64.182.165:8686/rtp/239.3.1.53:9136
足球,http://124.64.182.165:8686/rtp/239.3.1.89:4120
金鹰卡通,http://124.64.182.165:8686/rtp/239.3.1.51:9252
鉴赏,http://124.64.182.165:8686/rtp/239.3.1.82:4120
音乐现场,http://124.64.182.165:8686/rtp/239.3.1.70:4120
高网,http://124.64.182.165:8686/rtp/239.3.1.88:4120
魅力时尚,http://124.64.182.165:8686/rtp/239.3.1.196:9012
河南卫视高清,http://125.43.83.82:7001/rtp/225.1.4.98:1127
河南都市频道高清,http://125.43.83.82:7001/rtp/225.1.4.52:1081
河南民生频道,http://125.43.83.82:7001/rtp/225.1.4.53:1082
河南法治频道,http://125.43.83.82:7001/rtp/225.1.4.54:1083
河南电视剧频道高清,http://125.43.83.82:7001/rtp/225.1.4.55:1084
河南新闻频道,http://125.43.83.82:7001/rtp/225.1.4.56:1085
河南欢腾购物,http://125.43.83.82:7001/rtp/225.1.4.57:1086
河南公共频道高清,http://125.43.83.82:7001/rtp/225.1.4.58:1087
河南乡村频道,http://125.43.83.82:7001/rtp/225.1.4.120:1149
河南国际频道,http://125.43.83.82:7001/rtp/225.1.4.102:1131
睛彩中原,http://125.43.83.82:7001/rtp/225.1.4.163:1203
移动戏曲,http://125.43.83.82:7001/rtp/225.1.4.206:1254
河南文物宝库,http://125.43.83.82:7001/rtp/225.1.4.100:1129
河南梨园频道,http://125.43.83.82:7001/rtp/225.1.4.99:1128
河南武术世界,http://125.43.83.82:7001/rtp/225.1.4.101:1130
CCTV-1高清,http://125.43.83.82:7001/rtp/225.1.4.73:1102
CCTV-2高清,http://125.43.83.82:7001/rtp/225.1.4.74:1103
CCTV-3高清,http://125.43.83.82:7001/rtp/225.1.4.158:1194
CCTV-4高清,http://125.43.83.82:7001/rtp/225.1.5.30:1333
CCTV-5高清,http://125.43.83.82:7001/rtp/225.1.4.159:1195
CCTV-6高清,http://125.43.83.82:7001/rtp/225.1.4.160:1196
CCTV-7高清,http://125.43.83.82:7001/rtp/225.1.4.76:1105
CCTV-8高清,http://125.43.83.82:7001/rtp/225.1.4.161:1197
CCTV-9高清,http://125.43.83.82:7001/rtp/225.1.4.77:1106
CCTV-10高清,http://125.43.83.82:7001/rtp/225.1.4.78:1107
CCTV-11高清,http://125.43.83.82:7001/rtp/225.1.4.215:1268
CCTV-12高清,http://125.43.83.82:7001/rtp/225.1.4.79:1108
CCTV-13高清,http://125.43.83.82:7001/rtp/225.1.4.113:1293
CCTV-14高清,http://125.43.83.82:7001/rtp/225.1.4.80:1109
CCTV-15高清,http://125.43.83.82:7001/rtp/225.1.4.216:1269
CCTV-16高清,http://125.43.83.82:7001/rtp/225.1.5.46:1356
CCTV-17高清,http://125.43.83.82:7001/rtp/225.1.4.226:2506
CCTV-5＋高清,http://125.43.83.82:7001/rtp/225.1.4.75:1104
河南移动电视,http://125.43.83.82:7001/rtp/225.1.5.40:1350
CGTN,http://125.43.83.82:7001/rtp/225.1.4.16:1045
环球购物,http://125.43.83.82:7001/rtp/225.1.4.229:1275
家有购物,http://125.43.83.82:7001/rtp/225.1.4.223:1273
央广购物,http://125.43.83.82:7001/rtp/225.1.4.230:1276
快乐购,http://125.43.83.82:7001/rtp/225.1.4.231:1277
好享购物,http://125.43.83.82:7001/rtp/225.1.4.232:1278
风尚购物,http://125.43.83.82:7001/rtp/225.1.4.233:1279
驻马店新闻综合,http://125.43.83.82:7001/rtp/225.1.4.132:1168
驻马店科教频道,http://125.43.83.82:7001/rtp/225.1.4.133:1169
驻马店公共频道,http://125.43.83.82:7001/rtp/225.1.4.136:1172
西平电视台,http://125.43.83.82:7001/rtp/225.1.5.28:1340
新蔡电视台,http://125.43.83.82:7001/rtp/225.1.5.29:1341
国学频道,http://125.43.83.82:7001/rtp/225.1.4.196:1311
欢腾购物,http://125.43.83.82:7001/rtp/225.1.4.236:1282
湖南卫视高清,http://125.43.83.82:7001/rtp/225.1.4.82:1111
江苏卫视高清,http://125.43.83.82:7001/rtp/225.1.4.83:1112
浙江卫视高清,http://125.43.83.82:7001/rtp/225.1.4.84:1113
北京卫视高清,http://125.43.83.82:7001/rtp/225.1.4.81:1110
东方卫视高清,http://125.43.83.82:7001/rtp/225.1.4.85:1114
天津卫视高清,http://125.43.83.82:7001/rtp/225.1.4.86:1115
山东卫视高清,http://125.43.83.82:7001/rtp/225.1.4.88:1117
安徽卫视高清,http://125.43.83.82:7001/rtp/225.1.4.87:1116
深圳卫视高清,http://125.43.83.82:7001/rtp/225.1.4.90:1119
江西卫视高清,http://125.43.83.82:7001/rtp/225.1.4.139:1305
湖北卫视高清,http://125.43.83.82:7001/rtp/225.1.4.89:1118
四川卫视高清,http://125.43.83.82:7001/rtp/225.1.4.151:1306
黑龙江卫视高清,http://125.43.83.82:7001/rtp/225.1.4.91:1120
云南卫视高清,http://125.43.83.82:7001/rtp/225.1.4.152:1307
贵州卫视高清,http://125.43.83.82:7001/rtp/225.1.4.122:1302
辽宁卫视高清,http://125.43.83.82:7001/rtp/225.1.4.167:1208
东南卫视高清,http://125.43.83.82:7001/rtp/225.1.4.228:1274
重庆卫视高清,http://125.43.83.82:7001/rtp/225.1.4.157:1308
广东卫视高清,http://125.43.83.82:7001/rtp/225.1.4.166:1207
广西卫视,http://125.43.83.82:7001/rtp/225.1.4.31:1060
河北卫视高清,http://125.43.83.82:7001/rtp/225.1.4.123:1304
海南卫视,http://125.43.83.82:7001/rtp/225.1.4.25:1054
吉林卫视高清,http://125.43.83.82:7001/rtp/225.1.4.174:1309
山西卫视,http://125.43.83.82:7001/rtp/225.1.4.38:1067
陕西卫视,http://125.43.83.82:7001/rtp/225.1.4.39:1068
甘肃卫视,http://125.43.83.82:7001/rtp/225.1.4.42:1071
宁夏卫视,http://125.43.83.82:7001/rtp/225.1.4.43:1072
青海卫视,http://125.43.83.82:7001/rtp/225.1.4.44:1073
内蒙古卫视,http://125.43.83.82:7001/rtp/225.1.4.45:1074
西藏卫视,http://125.43.83.82:7001/rtp/225.1.4.46:1075
新疆卫视,http://125.43.83.82:7001/rtp/225.1.4.47:1076
卡酷动画,http://125.43.83.82:7001/rtp/225.1.4.48:1077
金鹰卡通,http://125.43.83.82:7001/rtp/225.1.4.49:1078
嘉佳卡通,http://125.43.83.82:7001/rtp/225.1.4.92:1121
中国教育-1高清,http://125.43.83.82:7001/rtp/225.1.4.173:1712
中国教育-4,http://125.43.83.82:7001/rtp/225.1.4.171:1710
厦门卫视,http://125.43.83.82:7001/rtp/225.1.4.95:1124
金鹰纪实高清,http://125.43.83.82:7001/rtp/225.1.4.172:1711
兵团卫视,http://125.43.83.82:7001/rtp/225.1.4.97:1126
中国教育-2,http://125.43.83.82:7001/rtp/225.1.4.165:1206
爱上-4k,http://125.43.83.82:7001/rtp/225.1.4.162:1204
山东教育,http://125.43.83.82:7001/rtp/225.1.4.164:1205
三沙卫视,http://125.43.83.82:7001/rtp/225.1.4.234:1280
海南卫视高清,http://125.43.83.82:7001/rtp/225.1.4.195:1310
体育竞技高清,http://125.43.83.82:7001/rtp/225.1.4.235:1281
CHC家庭影院,http://125.43.83.82:7001/rtp/225.1.4.209:1262
CHC动作电影,http://125.43.83.82:7001/rtp/225.1.4.208:1261
CHC高清电影,http://125.43.83.82:7001/rtp/225.1.4.207:1260
网络棋牌,http://125.43.83.82:7001/rtp/225.1.4.211:1264
乒羽频道,http://125.43.83.82:7001/rtp/225.1.4.210:1263
新动漫,http://125.43.83.82:7001/rtp/225.1.4.212:1265
篮球,http://125.43.83.82:7001/rtp/225.1.4.237:1283
音乐现场,http://125.43.83.82:7001/rtp/225.1.4.184:1224
